板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
有色金属,4.83,54.23,3.39,65.26,4.08,-11.03,-0.69,-23.15,-1.45,-30.85,-1.93,中国铝业,601600
小金属,4.85,35.09,3.72,40.74,4.32,-5.65,-0.6,-14.4,-1.53,-20.57,-2.18,北方稀土,600111
玻璃玻纤,2.11,18.94,9.83,14.82,7.69,4.12,2.14,-4.98,-2.59,-13.11,-6.8,中材科技,002080
通信服务,-0.32,18.52,8.08,15.29,6.67,3.24,1.41,-6.21,-2.71,-12.32,-5.37,中国电信,601728
电源设备,0.02,16.17,6.59,12.57,5.12,3.6,1.47,-21.53,-8.77,5.37,2.19,N恒运昌,688785
银行,-0.09,14.37,3.14,-2.37,-0.52,16.74,3.66,-9.53,-2.08,-4.84,-1.06,工商银行,601398
化学原料,1.84,14.28,3.84,9.47,2.55,4.81,1.3,-3.05,-0.82,-10.87,-2.93,和邦生物,603077
能源金属,2.6,11.76,3.33,9.02,2.55,2.73,0.77,-4.6,-1.3,-7.15,-2.02,华友钴业,603799
采掘行业,6.78,10.65,6.29,7.89,4.66,2.76,1.63,-3.25,-1.92,-5.99,-3.54,石化油服,600871
煤炭行业,4.38,9.87,4.45,8.29,3.74,1.58,0.71,-0.19,-0.09,-9.68,-4.36,华阳股份,600348
钢铁行业,1.57,9.23,3.83,7.02,2.91,2.21,0.92,-2.13,-0.88,-7.23,-3.0,包钢股份,600010
珠宝首饰,7.81,8.96,9.67,8.47,9.15,0.48,0.52,-2.16,-2.34,-6.79,-7.34,金一文化,002721
石油行业,2.31,8.73,3.77,6.53,2.82,2.19,0.95,3.4,1.47,-12.13,-5.24,中国海油,600938
农牧饲渔,0.9,5.98,1.96,3.95,1.29,2.02,0.66,-1.85,-0.61,-3.37,-1.1,农发种业,600313
贵金属,10.75,4.47,0.98,8.54,1.87,-4.07,-0.89,-0.25,-0.05,-4.22,-0.92,西部黄金,601069
证券,0.14,3.97,1.05,-4.45,-1.17,8.42,2.22,-0.02,-0.01,-3.95,-1.04,中信证券,600030
化学制品,0.14,3.86,0.65,11.63,1.97,-7.77,-1.32,-7.97,-1.35,4.47,0.76,万华化学,600309
房地产开发,0.58,3.8,1.83,4.39,2.12,-0.59,-0.29,-1.77,-0.85,-2.03,-0.98,保利发展,600048
铁路公路,0.54,2.11,4.63,2.13,4.68,-0.02,-0.05,-1.11,-2.44,-1.0,-2.19,京沪高铁,601816
物流行业,-0.67,1.93,1.96,0.45,0.46,1.48,1.5,-1.77,-1.8,-0.1,-0.11,中国铁物,000927
橡胶制品,0.7,1.55,1.71,0.68,0.74,0.88,0.96,0.34,0.38,-2.08,-2.28,海南橡胶,601118
贸易行业,0.13,1.49,1.29,1.61,1.4,-0.12,-0.11,-0.78,-0.68,-0.93,-0.81,五矿发展,600058
农药兽药,0.8,1.42,1.21,0.73,0.62,0.68,0.58,-1.24,-1.06,-0.03,-0.03,利民股份,002734
化肥行业,2.07,1.21,0.56,0.71,0.33,0.49,0.23,-4.07,-1.89,3.06,1.42,N农大,920159
房地产服务,-0.15,0.67,2.29,0.61,2.07,0.06,0.22,-0.07,-0.25,-0.6,-2.04,群兴玩具,002575
水泥建材,0.16,0.28,0.43,1.13,1.73,-0.85,-1.3,-0.91,-1.39,0.63,0.96,海螺水泥,600585
船舶制造,-0.27,0.24,0.25,-0.34,-0.37,0.58,0.62,0.98,1.05,-1.21,-1.3,中国船舶,600150
公用事业,0.09,0.03,0.14,0.17,0.78,-0.14,-0.64,0.1,0.48,-0.13,-0.62,百通能源,001376
纺织服装,-0.74,-0.09,-0.08,0.44,0.38,-0.53,-0.46,-0.44,-0.38,0.5,0.44,哈森股份,603958
汽车服务,-0.85,-0.27,-2.91,-0.25,-2.61,-0.03,-0.3,0.01,0.1,0.26,2.77,北巴传媒,600386
工程机械,-0.38,-0.91,-0.64,-1.12,-0.79,0.22,0.15,-2.19,-1.54,3.6,2.53,安徽合力,600761
装修建材,-0.39,-0.94,-0.82,-1.77,-1.55,0.83,0.73,0.33,0.29,0.3,0.26,青龙管业,002457
环保行业,-0.53,-1.14,-0.59,0.86,0.45,-2.0,-1.04,0.58,0.3,0.55,0.29,浙富控股,002266
航空机场,-1.23,-1.18,-1.78,-1.28,-1.93,0.1,0.15,2.81,4.26,-1.63,-2.48,中国东航,600115
包装材料,-1.04,-1.25,-2.01,-1.16,-1.87,-0.08,-0.14,-0.43,-0.69,1.73,2.78,顺灏股份,002565
专业服务,-0.43,-1.26,-1.48,-0.6,-0.7,-0.66,-0.78,0.49,0.57,1.14,1.35,南网能源,003035
造纸印刷,-0.44,-1.29,-2.16,-0.36,-0.61,-0.92,-1.55,0.66,1.1,0.26,0.44,太阳纸业,002078
家用轻工,-1.22,-1.38,-2.69,-1.0,-1.95,-0.38,-0.74,0.88,1.73,0.42,0.81,创源股份,300703
化纤行业,0.45,-1.72,-1.25,-2.25,-1.63,0.53,0.38,3.88,2.81,-2.59,-1.88,荣盛石化,002493
教育,-1.72,-1.84,-5.46,-0.82,-2.44,-1.02,-3.02,-0.18,-0.53,2.03,5.99,昂立教育,600661
燃气,1.18,-1.94,-2.25,-0.64,-0.74,-1.3,-1.51,-0.69,-0.8,2.64,3.06,升达林业,002259
仪器仪表,-1.44,-2.08,-1.63,-1.96,-1.54,-0.11,-0.09,0.66,0.52,0.57,0.44,禾信仪器,688622
电子化学品,-0.11,-2.31,-1.1,-2.45,-1.16,0.14,0.06,1.26,0.6,1.05,0.5,雅克科技,002409
美容护理,-2.09,-2.63,-6.21,-1.51,-3.58,-1.12,-2.64,0.27,0.63,2.36,5.58,力合科创,002243
工程咨询服务,-1.84,-2.64,-5.29,-0.81,-1.62,-1.83,-3.68,0.23,0.45,2.16,4.34,华图山鼎,300492
综合行业,-0.36,-2.66,-3.42,-1.19,-1.54,-1.47,-1.89,1.07,1.38,1.59,2.04,粤桂股份,000833
多元金融,-0.48,-3.08,-5.11,-1.76,-2.91,-1.32,-2.19,0.4,0.67,2.68,4.44,五矿资本,600390
食品饮料,-0.44,-3.49,-1.8,-2.05,-1.05,-1.45,-0.75,0.02,0.01,3.59,1.85,新诺威,300765
医药商业,-1.66,-4.44,-5.1,-1.15,-1.31,-3.3,-3.79,-0.88,-1.01,5.32,6.1,中国医药,600056
航运港口,0.81,-5.0,-3.77,-4.85,-3.65,-0.15,-0.11,4.11,3.1,1.1,0.82,厦门港务,000905
游戏,-0.7,-5.17,-3.17,-4.28,-2.62,-0.89,-0.55,-0.05,-0.03,5.22,3.2,神州泰岳,300002
光学光电子,-0.99,-5.53,-1.13,-3.26,-0.67,-2.27,-0.46,4.21,0.86,1.29,0.26,德科立,688205
保险,-0.17,-6.02,-3.05,-1.35,-0.68,-4.67,-2.36,-1.12,-0.57,7.14,3.61,中国太保,601601
商业百货,-0.74,-6.04,-4.76,-3.05,-2.4,-2.99,-2.35,0.68,0.53,5.37,4.22,供销大集,000564
旅游酒店,-0.57,-6.13,-6.88,-4.48,-5.03,-1.65,-1.85,2.97,3.33,3.16,3.55,众信旅游,002707
电机,-1.39,-6.75,-6.36,-3.07,-2.89,-3.68,-3.47,0.6,0.57,6.09,5.74,中电电机,603988
装修装饰,-2.15,-6.79,-6.52,-6.3,-6.04,-0.5,-0.48,3.3,3.17,3.46,3.32,亚翔集成,603929
通信设备,-0.78,-6.81,-0.43,16.92,1.07,-23.73,-1.5,-16.63,-1.05,23.19,1.47,天孚通信,300394
电子元件,-0.63,-7.65,-0.77,-5.09,-0.51,-2.56,-0.26,-4.85,-0.49,12.14,1.22,香农芯创,300475
专用设备,-1.16,-8.5,-1.0,-5.62,-0.66,-2.87,-0.34,2.44,0.29,5.29,0.62,英维克,002837
工程建设,-0.33,-9.59,-2.2,-22.92,-5.25,13.33,3.06,11.2,2.57,-1.6,-0.37,上海建工,600170
中药,-1.59,-10.43,-7.31,-5.16,-3.61,-5.28,-3.7,2.11,1.48,8.3,5.81,云南白药,000538
计算机设备,-1.07,-10.48,-3.78,-7.94,-2.87,-2.54,-0.92,4.33,1.56,6.14,2.21,同方股份,600100
电力行业,0.0,-12.05,-3.54,-17.36,-5.1,5.31,1.56,-2.54,-0.75,14.58,4.29,永泰能源,600157
汽车整车,-1.31,-12.24,-5.1,-7.68,-3.2,-4.56,-1.9,1.36,0.56,10.88,4.53,江淮汽车,600418
交运设备,-1.06,-12.63,-11.84,-11.14,-10.45,-1.49,-1.39,6.5,6.09,6.11,5.73,今创集团,603680
酿酒行业,0.05,-12.8,-5.84,-4.65,-2.12,-8.16,-3.72,14.21,6.49,-1.41,-0.64,泸州老窖,000568
风电设备,-1.29,-12.94,-5.4,-3.96,-1.65,-8.98,-3.75,-3.17,-1.32,16.12,6.72,飞沃科技,301232
塑料制品,-1.47,-13.09,-5.63,-6.41,-2.76,-6.68,-2.87,2.33,1.0,10.29,4.43,肇民科技,301000
医疗服务,-2.48,-13.33,-7.04,-8.94,-4.72,-4.39,-2.32,1.82,0.96,11.51,6.08,阳光诺和,688621
互联网服务,-1.03,-14.7,-1.07,-2.47,-0.18,-12.24,-0.89,7.35,0.53,6.8,0.49,网宿科技,300017
非金属材料,-0.45,-15.2,-5.05,-10.57,-3.51,-4.63,-1.54,3.49,1.16,11.87,3.95,道氏技术,300409
生物制品,-2.47,-15.66,-8.02,-7.51,-3.85,-8.14,-4.17,5.71,2.93,9.06,4.64,荣昌生物,688331
半导体,1.5,-19.04,-0.6,-23.28,-0.74,4.24,0.13,2.05,0.06,17.02,0.54,中芯国际,688981
化学制药,-1.61,-19.16,-5.23,-13.0,-3.55,-6.15,-1.68,4.52,1.23,14.11,3.86,广生堂,300436
医疗器械,-2.54,-22.25,-7.66,-12.79,-4.4,-9.47,-3.26,4.78,1.65,16.65,5.73,华兰股份,301093
家电行业,-1.36,-23.81,-7.18,-10.58,-3.19,-13.23,-3.99,0.26,0.08,23.55,7.1,海尔智家,600690
电网设备,-0.68,-28.02,-4.07,-17.19,-2.5,-10.83,-1.57,10.37,1.51,16.67,2.42,远东股份,600869
通用设备,-1.55,-31.37,-4.74,-16.37,-2.47,-15.01,-2.27,4.23,0.64,26.15,3.95,巨力索具,002342
软件开发,-1.35,-31.94,-3.66,-22.63,-2.59,-9.31,-1.07,13.87,1.59,16.12,1.85,科大国创,300520
文化传媒,-1.4,-33.95,-4.82,-20.02,-2.84,-13.93,-1.98,3.19,0.45,29.84,4.24,省广集团,002400
消费电子,-1.17,-35.15,-4.28,-18.28,-2.23,-16.87,-2.05,4.47,0.54,30.52,3.72,工业富联,601138
航天航空,-2.38,-37.15,-7.45,-26.36,-5.29,-10.8,-2.17,7.94,1.59,28.6,5.74,航发动力,600893
汽车零部件,-1.71,-38.48,-5.4,-20.66,-2.9,-17.82,-2.5,4.91,0.69,32.67,4.59,飞龙股份,002536
电池,-1.63,-44.83,-8.26,-21.95,-4.05,-22.88,-4.22,8.61,1.59,35.77,6.59,金银河,300619
光伏设备,-2.63,-61.23,-6.41,-30.73,-3.22,-30.5,-3.19,16.76,1.75,43.54,4.56,双良节能,600481
