板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
银行,1.31,62.02,2.85,29.61,1.36,32.41,1.49,-42.23,-1.94,-19.78,-0.91,工商银行,601398
通信设备,-2.62,55.55,0.7,122.72,1.55,-67.17,-0.85,-131.95,-1.66,76.46,0.96,天孚通信,300394
酿酒行业,1.37,34.03,1.91,47.02,2.64,-12.99,-0.73,-31.66,-1.78,-2.37,-0.13,贵州茅台,600519
保险,6.59,22.67,2.19,32.25,3.12,-9.58,-0.93,-13.27,-1.28,-9.4,-0.91,新华保险,601336
证券,-1.04,20.25,1.01,-2.08,-0.1,22.33,1.11,12.17,0.61,-32.43,-1.62,中信证券,600030
煤炭行业,4.23,8.59,0.95,11.96,1.32,-3.36,-0.37,6.91,0.76,-15.51,-1.71,华阳股份,600348
玻璃玻纤,0.71,6.19,0.66,5.48,0.59,0.71,0.08,4.05,0.43,-8.67,-0.93,C振石,601112
农牧饲渔,2.13,4.34,0.27,17.03,1.08,-12.69,-0.8,-4.78,-0.3,2.01,0.13,牧原股份,002714
铁路公路,-0.8,0.89,0.4,2.72,1.22,-1.83,-0.82,-2.09,-0.94,1.2,0.54,京沪高铁,601816
房地产服务,-1.83,-0.2,-0.11,2.61,1.42,-2.81,-1.53,-1.15,-0.63,1.35,0.74,群兴玩具,002575
石油行业,4.3,-1.14,-0.11,3.02,0.29,-4.15,-0.4,12.56,1.22,-11.42,-1.11,中国石油,601857
珠宝首饰,2.21,-1.85,-0.37,2.85,0.57,-4.7,-0.95,-3.8,-0.77,5.65,1.14,豫园股份,600655
汽车服务,-5.29,-1.86,-3.16,-0.91,-1.54,-0.95,-1.62,0.56,0.95,1.12,1.9,浩物股份,000757
公用事业,-1.06,-2.82,-2.03,-1.7,-1.23,-1.12,-0.81,0.49,0.36,2.33,1.68,百通能源,001376
农药兽药,0.57,-3.54,-0.55,-0.87,-0.14,-2.66,-0.41,-0.78,-0.12,4.33,0.67,利民股份,002734
家用轻工,-2.11,-4.14,-1.26,-0.21,-0.06,-3.94,-1.2,0.89,0.27,2.99,0.91,马可波罗,001386
贸易行业,-1.12,-4.9,-0.79,1.47,0.24,-6.38,-1.02,-0.5,-0.08,5.02,0.8,商络电子,300975
采掘行业,11.72,-5.53,-0.59,-2.32,-0.25,-3.21,-0.34,5.53,0.59,2.11,0.22,海油发展,600968
美容护理,-4.87,-6.13,-2.51,-3.05,-1.25,-3.07,-1.26,0.87,0.36,5.26,2.15,延江股份,300658
包装材料,-3.25,-6.64,-2.09,-2.22,-0.7,-4.41,-1.39,-3.01,-0.95,9.44,2.97,珠海中富,000659
造纸印刷,-1.15,-7.09,-2.14,-1.69,-0.51,-5.4,-1.63,1.26,0.38,4.58,1.39,岳阳林纸,600963
装修建材,-1.05,-8.16,-1.32,-6.93,-1.12,-1.23,-0.2,-1.1,-0.18,7.58,1.23,青龙管业,002457
橡胶制品,-1.7,-8.66,-1.91,-4.17,-0.92,-4.49,-0.99,3.04,0.67,3.81,0.84,青岛双星,000599
教育,-4.68,-9.18,-4.77,-2.91,-1.51,-6.27,-3.26,-0.11,-0.06,9.29,4.83,昂立教育,600661
工程机械,-1.7,-10.41,-1.49,-1.48,-0.21,-8.93,-1.28,-1.53,-0.22,11.17,1.6,华电科工,601226
工程咨询服务,-4.3,-10.89,-4.13,-3.34,-1.27,-7.55,-2.86,1.8,0.68,7.41,2.81,深圳瑞捷,300977
水泥建材,-2.22,-11.73,-3.47,-2.54,-0.75,-9.19,-2.72,-3.02,-0.89,14.75,4.37,四川金顶,600678
物流行业,-2.59,-12.96,-2.49,-6.12,-1.18,-6.83,-1.31,-0.4,-0.08,13.3,2.55,中国外运,601598
燃气,-0.85,-13.16,-2.85,-6.08,-1.32,-7.08,-1.53,-0.14,-0.03,12.92,2.8,新天然气,603393
多元金融,-2.86,-14.04,-3.88,-8.37,-2.31,-5.68,-1.57,3.64,1.01,10.41,2.88,渤海租赁,000415
游戏,-1.95,-14.92,-1.47,-9.17,-0.91,-5.75,-0.57,2.53,0.25,12.39,1.22,顺网科技,300113
装修装饰,-2.29,-15.06,-3.39,-12.33,-2.78,-2.73,-0.61,5.98,1.35,8.9,2.0,亚翔集成,603929
通信服务,-4.05,-15.55,-1.5,-11.95,-1.15,-3.6,-0.35,6.09,0.59,9.46,0.91,中国联通,600050
综合行业,-3.16,-15.81,-4.45,-8.31,-2.34,-7.5,-2.11,3.2,0.9,12.6,3.55,泰达股份,000652
化学原料,0.49,-15.98,-0.9,-11.31,-0.64,-4.67,-0.26,1.15,0.06,13.93,0.78,宝丰能源,600989
船舶制造,-6.17,-16.45,-3.22,-13.03,-2.55,-3.42,-0.67,3.31,0.65,13.14,2.57,海兰信,300065
医药商业,-5.35,-16.51,-3.38,-4.17,-0.86,-12.34,-2.53,-1.3,-0.27,17.81,3.65,中国医药,600056
食品饮料,-1.86,-17.05,-1.54,-7.03,-0.64,-10.02,-0.91,2.68,0.24,13.53,1.23,李子园,605337
纺织服装,-1.86,-17.65,-2.67,-9.46,-1.43,-8.18,-1.24,7.17,1.09,10.39,1.57,哈森股份,603958
专业服务,-4.36,-17.76,-3.89,-9.52,-2.09,-8.24,-1.81,2.67,0.59,14.26,3.13,南网能源,003035
航空机场,-3.44,-19.19,-6.34,-8.67,-2.86,-10.52,-3.47,11.03,3.64,8.16,2.7,深圳机场,000089
中药,-2.38,-20.11,-2.56,-6.93,-0.88,-13.18,-1.67,6.3,0.8,13.68,1.74,云南白药,000538
航运港口,1.69,-20.63,-3.35,-13.86,-2.25,-6.76,-1.1,17.01,2.76,4.3,0.7,中远海能,600026
化纤行业,-2.06,-20.69,-3.42,-12.77,-2.11,-7.92,-1.31,9.59,1.59,10.03,1.66,荣盛石化,002493
房地产开发,-1.63,-22.73,-1.84,-5.65,-0.46,-17.08,-1.38,5.31,0.43,17.42,1.41,保利发展,600048
旅游酒店,-1.0,-23.11,-3.97,-12.16,-2.09,-10.96,-1.88,7.91,1.36,15.21,2.61,峨眉山Ａ,000888
生物制品,-3.51,-23.57,-2.11,-12.28,-1.1,-11.28,-1.01,17.88,1.6,4.42,0.4,益方生物-U,688382
钢铁行业,-1.87,-24.16,-1.96,-10.72,-0.87,-13.45,-1.09,7.08,0.58,16.77,1.36,河钢资源,000923
电源设备,-4.98,-25.32,-2.33,-12.97,-1.2,-12.35,-1.14,-12.44,-1.15,37.76,3.48,C恒运昌,688785
仪器仪表,-5.09,-27.77,-3.95,-17.17,-2.44,-10.61,-1.51,3.65,0.52,19.84,2.82,咸亨国际,605056
环保行业,-2.16,-36.08,-3.6,-18.5,-1.85,-17.58,-1.76,9.65,0.96,26.18,2.61,东湖高新,600133
医疗器械,-3.65,-36.57,-2.47,-18.53,-1.25,-18.04,-1.22,10.6,0.72,23.76,1.6,三友医疗,688085
医疗服务,-4.63,-37.25,-3.38,-25.79,-2.34,-11.46,-1.04,8.26,0.75,28.99,2.63,泰格医药,300347
商业百货,-4.45,-37.79,-4.96,-17.93,-2.35,-19.86,-2.61,6.55,0.86,31.24,4.1,茂业商业,600828
交运设备,-3.91,-39.78,-8.12,-28.25,-5.77,-11.53,-2.35,16.03,3.27,23.36,4.77,工大高科,688367
电机,-6.72,-44.04,-7.48,-21.37,-3.63,-22.67,-3.85,3.74,0.64,39.02,6.62,中电电机,603988
化学制药,-3.65,-44.85,-2.26,-27.28,-1.38,-17.56,-0.89,6.71,0.34,36.52,1.84,广生堂,300436
非金属材料,-6.35,-44.99,-3.36,-28.43,-2.12,-16.56,-1.24,1.58,0.12,41.87,3.13,天通股份,600330
化肥行业,0.63,-46.51,-4.38,-28.83,-2.71,-17.69,-1.66,-1.32,-0.12,47.24,4.45,云图控股,002539
文化传媒,1.17,-49.78,-1.2,-1.55,-0.04,-48.24,-1.16,-8.18,-0.2,58.97,1.42,省广集团,002400
电子化学品,-4.32,-50.13,-5.12,-31.64,-3.23,-18.49,-1.89,13.17,1.35,36.96,3.78,广信材料,300537
塑料制品,-4.07,-53.53,-4.36,-23.13,-1.88,-30.4,-2.47,1.34,0.11,50.53,4.11,东材科技,601208
汽车整车,-3.22,-57.79,-5.57,-32.07,-3.09,-25.71,-2.48,16.78,1.62,41.01,3.95,江淮汽车,600418
风电设备,-5.16,-58.87,-4.46,-36.99,-2.8,-21.87,-1.66,3.27,0.25,55.6,4.21,飞沃科技,301232
化学制品,-1.51,-65.92,-2.17,-18.67,-0.61,-47.25,-1.55,-4.2,-0.14,68.7,2.26,浙江龙盛,600352
电力行业,-1.9,-66.22,-3.67,-61.42,-3.4,-4.8,-0.27,8.65,0.48,57.57,3.19,涪陵电力,600452
小金属,0.09,-74.84,-1.61,-28.23,-0.61,-46.6,-1.0,-4.99,-0.11,79.34,1.7,北方稀土,600111
工程建设,-1.78,-75.41,-4.08,-76.78,-4.15,1.37,0.07,37.59,2.03,37.76,2.04,太极实业,600667
光学光电子,-4.41,-77.31,-2.99,-44.79,-1.73,-32.52,-1.26,24.48,0.95,52.58,2.04,东田微,301183
能源金属,-7.44,-78.01,-4.53,-42.11,-2.45,-35.9,-2.09,19.71,1.14,58.3,3.39,威领股份,002667
贵金属,25.62,-87.07,-3.58,-25.97,-1.07,-61.1,-2.51,13.37,0.55,73.7,3.03,湖南黄金,002155
家电行业,-4.35,-89.08,-4.88,-41.94,-2.3,-47.14,-2.58,0.61,0.03,87.66,4.81,美的集团,000333
计算机设备,-6.56,-98.35,-6.5,-70.02,-4.63,-28.33,-1.87,27.71,1.83,70.43,4.66,海康威视,002415
互联网服务,-2.37,-98.58,-1.4,-28.83,-0.41,-69.76,-0.99,-0.99,-0.01,98.9,1.41,网宿科技,300017
专用设备,-3.69,-107.41,-2.56,-52.82,-1.26,-54.58,-1.3,22.49,0.53,79.46,1.89,英维克,002837
电池,-7.32,-137.35,-4.56,-70.67,-2.35,-66.68,-2.22,38.65,1.28,93.78,3.12,鹏辉能源,300438
