板块名称,涨跌幅(%),主力净流入(亿元),主力净占比(%),超大单净流入(亿元),超大单净占比(%),大单净流入(亿元),大单净占比(%),中单净流入(亿元),中单净占比(%),小单净流入(亿元),小单净占比(%),领涨股票,领涨股票代码
通信设备,3.93,28.51,1.49,36.9,1.93,-8.39,-0.44,-12.33,-0.64,-15.04,-0.79,航天发展,000547
互联网服务,2.94,22.56,1.75,29.26,2.27,-6.7,-0.52,-22.52,-1.75,0.39,0.03,华胜天成,600410
光伏设备,6.28,22.03,2.48,25.43,2.87,-3.4,-0.38,-19.8,-2.23,-1.67,-0.19,隆基绿能,601012
航天航空,3.91,21.59,4.39,16.89,3.43,4.7,0.96,-11.6,-2.36,-9.52,-1.94,航天电子,600879
电网设备,2.64,20.15,2.16,17.64,1.89,2.51,0.27,-7.31,-0.78,-12.6,-1.35,特变电工,600089
船舶制造,6.52,18.09,10.24,17.58,9.95,0.51,0.29,-8.59,-4.86,-9.5,-5.38,海兰信,300065
通用设备,2.51,14.97,2.51,11.82,1.98,3.15,0.53,-8.93,-1.5,-4.57,-0.76,巨力索具,002342
汽车零部件,1.99,13.56,2.13,8.78,1.38,4.78,0.75,-2.86,-0.45,-10.53,-1.66,潍柴动力,000338
工程机械,3.95,13.27,8.31,10.53,6.59,2.75,1.72,-4.72,-2.95,-8.1,-5.07,三一重工,600031
专用设备,3.03,13.19,1.7,10.87,1.4,2.32,0.3,-9.41,-1.21,0.55,0.07,英维克,002837
家电行业,1.39,11.45,3.85,7.72,2.59,3.74,1.26,-4.32,-1.45,-7.1,-2.38,三花智控,002050
光学光电子,3.15,10.57,2.37,11.14,2.5,-0.58,-0.13,-10.79,-2.42,0.2,0.05,乾照光电,300102
化学制品,2.81,10.43,2.24,13.59,2.92,-3.16,-0.68,-10.44,-2.25,0.54,0.12,红 宝 丽,002165
玻璃玻纤,4.24,8.16,4.84,7.68,4.56,0.47,0.28,-4.95,-2.94,-1.42,-0.84,再升科技,603601
保险,-0.25,6.9,5.72,1.05,0.87,5.85,4.85,-1.18,-0.97,-5.73,-4.75,中国平安,601318
风电设备,2.77,6.87,2.98,3.31,1.44,3.56,1.55,-0.09,-0.04,-6.78,-2.95,金风科技,002202
小金属,4.6,6.76,1.02,4.8,0.72,1.96,0.29,-15.65,-2.35,8.96,1.35,北方稀土,600111
塑料制品,2.4,6.5,3.47,6.15,3.29,0.34,0.18,-5.43,-2.91,-0.72,-0.39,神剑股份,002361
医疗服务,2.81,6.13,3.66,2.06,1.23,4.06,2.43,-1.28,-0.76,-4.85,-2.9,泰格医药,300347
专业服务,2.47,5.78,5.94,4.17,4.29,1.61,1.66,-1.42,-1.46,-4.25,-4.37,航天工程,603698
消费电子,2.87,5.25,0.68,18.88,2.45,-13.63,-1.77,-15.08,-1.96,9.76,1.27,信维通信,300136
电源设备,3.45,5.15,2.66,5.91,3.05,-0.76,-0.39,-3.19,-1.65,-1.96,-1.01,中恒电气,002364
工程建设,1.87,4.69,2.07,2.34,1.03,2.35,1.04,-2.7,-1.19,-2.03,-0.89,上海建工,600170
电池,3.03,4.51,1.07,3.25,0.77,1.25,0.3,-7.58,-1.79,3.42,0.81,先导智能,300450
综合行业,1.88,4.46,8.34,4.29,8.03,0.17,0.31,-2.16,-4.04,-2.3,-4.3,东阳光,600673
钢铁行业,2.96,4.02,2.56,2.88,1.83,1.14,0.72,-3.13,-1.99,-0.88,-0.56,包钢股份,600010
化肥行业,2.87,3.6,2.62,3.15,2.28,0.46,0.33,-1.86,-1.35,-2.0,-1.45,盐湖股份,000792
非金属材料,3.4,3.52,1.9,4.98,2.69,-1.46,-0.79,-3.46,-1.87,0.29,0.15,天通股份,600330
酿酒行业,-0.01,3.32,1.07,0.46,0.15,2.86,0.92,-9.05,-2.92,5.73,1.85,贵州茅台,600519
计算机设备,2.69,3.11,1.41,0.33,0.15,2.78,1.26,-1.97,-0.89,-1.2,-0.54,中国长城,000066
